algorithm,array_type,n,time_us,char_cmps
MsdRadixQuick,prefix,2700,5938.32,12197
StdQuickSort,random,2800,3076.48,53992
StdMergeSort,random,2800,9650.72,40965
StrQuickSort,random,2800,1686.80,33132
StrMergeSort,random,2800,11905.10,31915
MsdRadix,random,2800,2204.80,0
MsdRadixQuick,random,2800,1591.10,12647
StdQuickSort,reverse,2800,1473.62,40641
StdMergeSort,reverse,2800,9697.12,23829
StrQuickSort,reverse,2800,1411.94,26676
StrMergeSort,reverse,2800,11985.62,18866
MsdRadix,reverse,2800,2168.28,0
MsdRadixQuick,reverse,2800,1438.28,10360
StdQuickSort,almost,2800,1369.00,43846
StdMergeSort,almost,2800,8954.46,33770
StrQuickSort,almost,2800,1474.14,26527
StrMergeSort,almost,2800,12192.10,27115
MsdRadix,almost,2800,1947.78,0
MsdRadixQuick,almost,2800,1504.62,10645
StdQuickSort,prefix,2800,10348.22,521856
StdMergeSort,prefix,2800,15861.44,383381
StrQuickSort,prefix,2800,1944.34,65144
StrMergeSort,prefix,2800,18523.80,65072
MsdRadix,prefix,2800,5914.00,0
MsdRadixQuick,prefix,2800,5484.04,12643
StdQuickSort,random,2900,1907.44,50548
StdMergeSort,random,2900,9942.64,42725
StrQuickSort,random,2900,1769.18,34393
StrMergeSort,random,2900,13330.86,33231
MsdRadix,random,2900,2905.30,0
MsdRadixQuick,random,2900,2138.62,13335
StdQuickSort,reverse,2900,1759.20,42366
StdMergeSort,reverse,2900,12185.00,24719
StrQuickSort,reverse,2900,1758.86,27679
StrMergeSort,reverse,2900,15473.54,19623
MsdRadix,reverse,2900,2711.04,0
MsdRadixQuick,reverse,2900,1744.24,10755
StdQuickSort,almost,2900,1473.72,46114
StdMergeSort,almost,2900,10706.82,35115
StrQuickSort,almost,2900,1349.66,27785
StrMergeSort,almost,2900,12473.60,28129
MsdRadix,almost,2900,2782.82,0
MsdRadixQuick,almost,2900,1828.36,11050
StdQuickSort,prefix,2900,11359.02,520366
StdMergeSort,prefix,2900,19888.02,399061
StrQuickSort,prefix,2900,2107.72,67092
StrMergeSort,prefix,2900,21421.56,67552
MsdRadix,prefix,2900,8553.24,0
MsdRadixQuick,prefix,2900,7939.04,13351
StdQuickSort,random,3000,2399.14,55052
StdMergeSort,random,3000,13493.68,44519
StrQuickSort,random,3000,2415.44,33220
StrMergeSort,random,3000,16376.66,34551
MsdRadix,random,3000,3089.16,0
MsdRadixQuick,random,3000,2334.02,14071
StdQuickSort,reverse,3000,1620.74,43925
StdMergeSort,reverse,3000,10642.88,25881
StrQuickSort,reverse,3000,1645.54,28873
StrMergeSort,reverse,3000,15815.62,20454
MsdRadix,reverse,3000,2626.98,0
MsdRadixQuick,reverse,3000,1796.42,11137
StdQuickSort,almost,3000,1585.70,49088
StdMergeSort,almost,3000,9452.40,36394
StrQuickSort,almost,3000,1472.16,29285
StrMergeSort,almost,3000,12467.76,28940
MsdRadix,almost,3000,2002.06,0
MsdRadixQuick,almost,3000,1463.66,11485
StdQuickSort,prefix,3000,11082.60,556750
StdMergeSort,prefix,3000,17444.90,415253
StrQuickSort,prefix,3000,2752.26,70229
StrMergeSort,prefix,3000,27047.20,70086
MsdRadix,prefix,3000,8983.98,0
MsdRadixQuick,prefix,3000,7583.36,13826
