algorithm,array_type,n,time_us,char_cmps
MsdRadixQuick,almost,600,295.70,2268
StdQuickSort,prefix,600,1555.08,77916
StdMergeSort,prefix,600,2731.78,63665
StrQuickSort,prefix,600,322.50,12222
StrMergeSort,prefix,600,3271.66,12494
MsdRadix,prefix,600,1210.62,0
MsdRadixQuick,prefix,600,1250.20,1322
StdQuickSort,random,700,333.58,8576
StdMergeSort,random,700,1971.50,7415
StrQuickSort,random,700,305.54,6102
StrMergeSort,random,700,2547.88,6407
MsdRadix,random,700,484.92,0
MsdRadixQuick,random,700,308.84,1726
StdQuickSort,reverse,700,307.20,8811
StdMergeSort,reverse,700,2085.82,5266
StrQuickSort,reverse,700,254.76,5267
StrMergeSort,reverse,700,2722.98,4016
MsdRadix,reverse,700,696.16,0
MsdRadixQuick,reverse,700,355.08,2613
StdQuickSort,almost,700,251.70,8400
StdMergeSort,almost,700,2079.80,7086
StrQuickSort,almost,700,259.16,5439
StrMergeSort,almost,700,2870.56,5563
MsdRadix,almost,700,461.84,0
MsdRadixQuick,almost,700,371.26,2637
StdQuickSort,prefix,700,2362.36,118551
StdMergeSort,prefix,700,3236.66,76012
StrQuickSort,prefix,700,418.70,14986
StrMergeSort,prefix,700,3951.24,14712
MsdRadix,prefix,700,1399.94,0
MsdRadixQuick,prefix,700,1494.76,1643
StdQuickSort,random,800,469.96,11545
StdMergeSort,random,800,2443.56,8816
StrQuickSort,random,800,412.34,8039
StrMergeSort,random,800,3008.80,7534
MsdRadix,random,800,581.62,0
MsdRadixQuick,random,800,401.88,2103
StdQuickSort,reverse,800,359.66,10149
StdMergeSort,reverse,800,2206.14,6103
StrQuickSort,reverse,800,300.68,6280
StrMergeSort,reverse,800,4937.06,4687
MsdRadix,reverse,800,699.32,0
MsdRadixQuick,reverse,800,397.66,2943
StdQuickSort,almost,800,294.82,9767
StdMergeSort,almost,800,2192.14,8610
StrQuickSort,almost,800,294.24,6282
StrMergeSort,almost,800,2964.14,6778
MsdRadix,almost,800,532.50,0
MsdRadixQuick,almost,800,391.18,3022
StdQuickSort,prefix,800,2255.88,111096
StdMergeSort,prefix,800,3726.58,89043
StrQuickSort,prefix,800,569.06,17056
StrMergeSort,prefix,800,4606.86,16990
MsdRadix,prefix,800,1768.58,0
MsdRadixQuick,prefix,800,1401.68,2000
StdQuickSort,random,900,612.26,11803
StdMergeSort,random,900,2761.46,10170
StrQuickSort,random,900,589.74,8577
StrMergeSort,random,900,3788.42,8609
MsdRadix,random,900,597.04,0
MsdRadixQuick,random,900,508.36,2512
StdQuickSort,reverse,900,421.06,11518
StdMergeSort,reverse,900,2519.34,7040
StrQuickSort,reverse,900,335.68,7110
StrMergeSort,reverse,900,3470.76,5382
MsdRadix,reverse,900,684.84,0
MsdRadixQuick,reverse,900,592.42,3310
StdQuickSort,almost,900,415.36,11178
StdMergeSort,almost,900,2579.10,9442
StrQuickSort,almost,900,391.08,7264
StrMergeSort,almost,900,3323.76,7579
MsdRadix,almost,900,579.54,0
MsdRadixQuick,almost,900,438.30,3370
StdQuickSort,prefix,900,2509.08,125548
StdMergeSort,prefix,900,4380.06,102347
StrQuickSort,prefix,900,539.88,19459
StrMergeSort,prefix,900,5157.78,19270
MsdRadix,prefix,900,1806.60,0
MsdRadixQuick,prefix,900,2280.64,2423
StdQuickSort,random,1000,917.60,14442
StdMergeSort,random,1000,2955.00,11628
StrQuickSort,random,1000,526.38,9674
StrMergeSort,random,1000,3824.64,9745
MsdRadix,random,1000,710.36,0
MsdRadixQuick,random,1000,501.36,2937
StdQuickSort,reverse,1000,475.98,12881
StdMergeSort,reverse,1000,2820.28,7995
